ROL_SII;NOMBRE;COMUNA;REGION;LAT;LON
"7278-1, 7278-2";"RUTA 68 CH JOSE SANTOS OSSA LOTE 1 LOTE 2 LOTE 3 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05077957237464";"-71.59375880967244"
"123-11";"CHACABUCO BOX 4 ESTACIONAMIENTO 1948 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04637475670588";"-71.6166636035103"
"SIN ROL";"EL PARQUE SIN NUMERO COMUNA QUILPUE";"QUILPUE";"05- REGION DE VALPARAÍSO";"-33.03887203818875";"-71.48507937585002"
"1220-25";"TUBUL 26 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.033831702818624";"-71.64978906877728"
"9300-560";"PASAJE SANTA MONICA SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.06182319318925";"-71.57209402413108"
"8008-0009";"ESPANA 1898 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03366495503021";"-71.59293389064551"
"9320-265";"ABELARDO NUNEZ SIN NUMERO LOTE 3 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.054375840580114";"-71.64750117054786"
"9320-261";"ABELARDO NUNEZ MANZANA C LOTE 52 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05432407760518";"-71.64552193766062"
"3001-155";"SUBIDA JOSE TOMAS RAMOS 111 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03981517816771";"-71.63034549231708"
"37-101";"PASAJE ROSS 149 PISO 10 DEPARTAMENTO 1009 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.041289961361855";"-71.62503842242069"
"1018-8";"WADDINGTON 7121 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.02369412020414";"-71.63353315485301"
"3088-1";"ALEMANIA 5196 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.048095291122685";"-71.63161124718339"
"6003-1";"JOSE SANTOS OSSA SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05206381831763";"-71.59472245582953"
"9332-129";"DEL CABO SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05807941793074";"-71.57826623320005"
"8023-12";"ESPANA NUMERO 2600 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03009411385967";"-71.586680595084"
"3032-1";"SANTA ISABEL 739 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04274745708148";"-71.62983329007665"
"3118-29";"GENERAL MACKENNA 602 AL 608 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.050931805551215";"-71.6245614193658"
"0047-0001";"BRASIL 1901 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.044509435321";"-71.61641883264345"
"150-9";"PEDRO MONTT 2890 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04798078872829";"-71.60547773335881"
"9300-433";"RODELILLO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.065007334127785";"-71.56976904002309"
"1122-11";"PROYECTADA VIDAURRE MANZANA A LOTE 10 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.028907754630445";"-71.64360888790543"
"123-98";"PEDRO MONNTT 1937 DEPARTAMENTO 87 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04666319008132";"-71.616701097902"
"1506-1";"PASAJE VEINTISEIS SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.039604985025505";"-71.65451232238956"
"5146-27";"TRES SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05843573283142";"-71.61493614285911"
"6130-0004";"VON MOLKE 281 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.06126167392478";"-71.59042796513924"
"17-1/17-2";"BLANCO 1421 ESQUINA PUDETO 97 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04353281380287";"-71.6210167438697"
"1078-8";"PLAYA ANCHA 301 Y 303 AL 315 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.02953934747866";"-71.63723991137941"
"1089-1";"SUBIDA AL CEMENTERIO SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.02322890021839";"-71.64457168001117"
"7100-3";"SANTA LUCIA 437 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04532922015932";"-71.59987349589429"
"37-132 37-133 37-134 37-135 37-136";"ESMERALDA 1051 AL 1059 Y BLANCO 1054 AL 1059 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.041648775339695";"-71.62481360937848"
"0040-0034";"BELLAVISTA 168 PISO 19 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04318482308618";"-71.62309148841788"
"5131-1";"PASAJE LAS QUINTAS MANZANA Q LOTE 1 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.059376007098194";"-71.61548907869293"
"5160-338";"DOS SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.06197292982268";"-71.60798206707524"
"8103-38 Y 8103-1";"21 DE MAYO 20 ESQUINA ERRAZURIZ LOTE 1 Y 2 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.038073754106044";"-71.58200834928618"
"1319-1";"JOSE SEREY 241 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04523843848612";"-71.65215533301604"
"39-8";"MELGAREJO 669 EDIFICIO ESMERALDA COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.0432527909869";"-71.6238829721429"
"0040-0033";"BELLAVISTA 168 PISO 18 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04318482308618";"-71.62309148841788"
"3159-5";"LO VENEGAS SIN NUMERO COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05499189756575";"-71.63254587543278"
"1107-1/1107-13/1107-14/1107-15/1107-16/1107-17";"SANTA MARTA 183 LOTE 1 Y ALCALDE BARRIOS 289 LOTE 2 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.02745206848195";"-71.6416507006983"
"1091-5";"ALCALDE BARRIOS 155 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.027188136164284";"-71.64046207523461"
"1134-2";"SANTA MARTA MANZANA C LOTE 1 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.02944410168626";"-71.64330901781528"
"123-110";"CHACABUCO BOX 3 ESTACIONAMIENTO 1948 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.046330226028445";"-71.61665537545488"
"2019-5";"SANTIAGO SEVERIN 10 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03633593317354";"-71.63303863324667"
"3038-19";"CUMMING 220 LOTE 1 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.0450604940493";"-71.62687307061879"
"0040-0031";"BELLAVISTA 168 PISO 16 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04318482308618";"-71.62309148841788"
"1002-13";"PLAZA WHEELWRIGHT 144 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03379908827771";"-71.6303867464371"
"90-6";"MERLET 195 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03877647745883";"-71.63021723488733"
"40-6";"BELLAVISTA 168 BODEGA 2 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04314985763321";"-71.62300072037905"
"0040-0032";"BELLAVISTA 168 PISO 17 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04318482308618";"-71.62309148841788"
"SIN ROL";"RIQUELME SIN NUMERO LOTE A-14 COMUNA VILLA ALEMANA";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04154620895042";"-71.35590799636839"
"4522-5";"RAMON BARROS LUCO 2640 MANZANA 54 SITIO 5 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.604533953423825";"-71.61359313335899"
"2045-1";"SAN FRANCISCO NUMERO 261 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.037657275944056";"-71.63275285118137"
"3920-1";"ANGAMOS 2380 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60164699128583";"-71.61509685855883"
"9060-2";"SOTERO DEL RIO INTERIOR LOCALIDAD SAN JUAN COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.647418567388435";"-71.58653853027842"
"8071-1";"MERCED NUMERO 26 LOTE 16-1 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60731421686363";"-71.60808158730495"
"725-1";"BLANCO ENCALADA SIN NUMERO MANZANA F SITIO 2 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.5836910801328";"-71.6120245171427"
"5117-3";"RAMON BARROS LUCO 2749 MANZANA 65 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60751805864477";"-71.61473518148584"
"2817-1";"RAMON BARROS LUCO ESQUINA CARABINEROS DE CHILE Y LA MARINA COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59766434975498";"-71.61286702515255"
"2764-4";"LIBERTAD 841 LOTE 4 MANZANA 38 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.5967856478016";"-71.6043337684156"
"2026-25";"CALLE IGNACIO CARRERA PINTO 39 LOTE 1 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59155652361462";"-71.61151708154803"
