REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"Antofagasta";"OLLAGUE";"3423-2";"PUEBLO DE OLLAGUE SITIO 1 MANZANA E COMUNA OLLAGUE";"485";"CONCESION GRATUITA";"2-posible";"485";"20629"
"Antofagasta";"OLLAGUE";"3411-21";"MANZANA D PLAN REGULADOR COMUNAL OLLAGUE COMUNA OLLAGUE";"476";"CONCESION GRATUITA";"2-posible";"476";"20247"
"Tarapacá";"HUARA";"PREASIGNADO";"ALTOS DE TARAPACA COMUNA HUARA";"225";"EN USO RECUPERABLE (texto)";"2-posible";"450";"19141"
"Antofagasta";"SIERRA GORDA";"6322-3";"SITIO 2 CENTRO COMERCIAL BAQUEDANO COMUNA SIERRA GORDA";"224";"ARRENDAMIENTO";"2-posible";"448";"19056"
"Antofagasta";"MARIA ELENA";"307-3";"PUEBLO DE QUILLAGUA SIN NUMERO COMUNA MARIA ELENA";"212";"ARRENDAMIENTO";"2-posible";"423";"17992"
"Tarapacá";"POZO ALMONTE";"PREASIGNADO";"PASAJE PEATONAL SIN NUMERO COMUNA POZO ALMONTE";"136";"EN USO RECUPERABLE (texto)";"2-posible";"409";"17397"
"Antofagasta";"SIERRA GORDA";"70000-29";"AL SUROESTE DE LA LOCALIDAD DE SIERRA GORDA COMUNA SIERRA GORDA";"200";"ARRENDAMIENTO";"2-posible";"400";"17014"
"Antofagasta";"OLLAGUE";"3419-2";"SITIO 1 MANZANA C COMUNA OLLAGUE";"390";"CONCESION GRATUITA";"2-posible";"390";"16589"
"Antofagasta";"OLLAGUE";"3421-14";"PUEBLO DE OLLAGUE SITIO 10 MANZANA G COMUNA OLLAGUE";"359";"ARRENDAMIENTO";"2-posible";"359";"15270"
"Tarapacá";"POZO ALMONTE";"PREASIGNADO";"HUATACONDO COMUNA POZO ALMONTE";"100";"EN USO RECUPERABLE (texto)";"2-posible";"300";"12760"
"Antofagasta";"OLLAGUE";"3416-5";"PUEBLO DE OLLAGUE SITIO 5 MANZANA J COMUNA OLLAGUE";"280";"CONCESION GRATUITA";"2-posible";"280";"11910"
"Antofagasta";"OLLAGUE";"3416-6";"PUEBLO DE OLLAGUE SITIO 6 MANZANA J COMUNA OLLAGUE";"280";"CONCESION GRATUITA";"2-posible";"280";"11910"
"Antofagasta";"OLLAGUE";"3416-7";"PUEBLO DE OLLAGUE SITIO 7 MANZANA J COMUNA OLLAGUE";"280";"CONCESION GRATUITA";"2-posible";"280";"11910"
"Antofagasta";"SIERRA GORDA";"6420-1";"AVENIDA SALVADOR ALLENDE 452 COMUNA SIERRA GORDA";"117";"CONCESION GRATUITA";"2-posible";"233";"9911"
"Antofagasta";"OLLAGUE";"3419-3";"SITIO 2 MANZANA C COMUNA OLLAGUE";"225";"CONCESION GRATUITA";"2-posible";"225";"9570"
