REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Tarapacá;ALTO HOSPICIO;PREASIGNADO;PROLONGACION AVENIDA LOS AROMOS COMUNA ALTO HOSPICIO;2500;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);10000;425347
Metropolitana;PUENTE ALTO;558-1;COVADONGA SIN NUMERO COMUNA PUENTE ALTO;992;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);9917;421817
Antofagasta;ANTOFAGASTA;15010-2;EL HUASCAR MANZANA M SITIO 2 COMUNA ANTOFAGASTA;2476;ARRENDAMIENTO;2-posible;Norte (gruesa);9904;421264
Metropolitana;LO PRADO;3622-25;INGENIERO GIROZ COMUNA LO PRADO;989;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9888;420583
Tarapacá;ALTO HOSPICIO;PREASIGNADO;AVENIDA RICARDO LAGOS NUMERO 47 COMUNA ALTO HOSPICIO;2463;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);9852;419052
Antofagasta;SIERRA GORDA;6038-2;LOCALIDAD DE SIERRA GORDA COMUNA SIERRA GORDA;9821;CONCESION GRATUITA;2-posible;Norte (gruesa);9821;417734
Tarapacá;POZO ALMONTE;PREASIGNADO;CALLE ALDUNATE SIN NUMERO COMUNA POZO ALMONTE;4900;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);9800;416840
Metropolitana;NUNOA;6623-14;LOS AVELLANOS 2206 COMUNA NUNOA;232;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9727;413735
Antofagasta;ANTOFAGASTA;16092-7;SITIO 7 MANZANA 8 LA CHIMBA COMUNA ANTOFAGASTA;2422;ARRENDAMIENTO;2-posible;Norte (gruesa);9688;412077
Metropolitana;QUINTA NORMAL;1613-8;CORONEL ROBLES 1131 ESQUINA SAN PABLO COMUNA QUINTA NORMAL;604;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9664;411056
Metropolitana;SANTIAGO;148-45;MERCED 343 COMUNA SANTIAGO;275;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);9625;409397
