REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Metropolitana;SANTIAGO;3812-1;PEDRO MONTT 1606 COMUNA SANTIAGO - ISABEL RIQUELME 1651 COMUNA PEDRO AGUIRRE CERDA;94260;..;1-disponible/recuperable;Centro (ref. mercado);3299084;140325670
Metropolitana;NUNOA;6133-217 - 6133-67;PEDRO DE VALDIVIA 4650 COMUNA NUNOA;57569;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);2417889;102844272
Metropolitana;LO BARNECHEA;3519-1;LA DEHESA 215 LOTE B-2 COMUNA LO BARNECHEA;59157;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);2366300;100649948
Valparaíso;VINA DEL MAR;2023-66;RANCAGUA PROYECTADA COMUNA VINA DEL MAR;60000;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);1500000;63802105
Metropolitana;SAN JOAQUIN;5110-1;VICUNA MACKENNA 5065 COMUNA SAN JOAQUIN;84835;..;1-disponible/recuperable;Centro (ref. mercado);1442188;61343087
Metropolitana;LO BARNECHEA;3519-18;LOTE F-2 COMUNA LO BARNECHEA;35838;..;1-disponible/recuperable;Centro (ref. mercado);1433513;60974098
Metropolitana;SANTIAGO;84-1;TEATINOS 120 COMUNA SANTIAGO;40446;..;1-disponible/recuperable;Centro (ref. mercado);1415594;60211918
Metropolitana;NUNOA;51-1;BROWN NORTE 105 COMUNA NUNOA;30760;PERMISO OCUPACION;2-posible;Centro (ref. mercado);1291899;54950584
Metropolitana;SAN JOAQUIN;1010-3;CARLOS VALDOVINOS 279 COMUNA SAN JOAQUIN;73000;..;1-disponible/recuperable;Centro (ref. mercado);1241000;52785608
Metropolitana;INDEPENDENCIA;2150-1;SAN JOSE 1053 Y BELISARIO PRATS 1587 COMUNA INDEPENDENCIA;56149;..;1-disponible/recuperable;Centro (ref. mercado);1235269;52541842
Metropolitana;QUINTA NORMAL;4044-38;COSTANERA SUR LOTE 4 COMUNA QUINTA NORMAL;74142;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);1186272;50457767
Valparaíso;VINA DEL MAR;2360-8/2360-17/2360-18;ALESSANDRI SIN NUMERO RESTO DEL PREDIO 8 LOTE 3 COMUNA VINA DEL MAR;36074;..;1-disponible/recuperable;Centro (ref. mercado);901846;38359782
Metropolitana;SANTIAGO;51-1;PLAZA DE LA CIUDADANIA COMUNA SANTIAGO;23974;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);839088;35690387
Metropolitana;INDEPENDENCIA;631-4;FERMIN VIVACETA 649 RIVERA 1561 LOTE 1 B Y 1 C COMUNA INDEPENDENCIA;37387;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);822521;34985714
Metropolitana;SAN JOAQUIN;1016-1;CARLOS VALDOVINOS 497 COMUNA SAN JOAQUIN;46400;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);788800;33551400
Metropolitana;SANTIAGO;44933;BERNARDO OHIGGINS 189-199 VILLAVICENCIO 21 Y BERNARDO OHIGGINS ESQUINA NOROESTE CON CALLE NAM;19856;..;1-disponible/recuperable;Centro (ref. mercado);694961;29559983
Valparaíso;VINA DEL MAR;615-1/612-3/612-4;CALLAO 398 IBERIA 252 COMUNA VINA DEL MAR;27439;..;1-disponible/recuperable;Centro (ref. mercado);685965;29177341
Biobío;TALCAHUANO;7019-30;LATORRE FUERTE BENAVENTE LOTE 2 COMUNA TALCAHUANO;54636;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);655632;27887135
Metropolitana;LA FLORIDA;2516-39;SANTA AMALIA 1022 COMUNA LA FLORIDA;42728;..;1-disponible/recuperable;Centro (ref. mercado);598192;25443939
Valparaíso;VINA DEL MAR;2472-311;GOMEZ CARRENO ESQUINA INDICO LOTE 236-A COMUNA VINA DEL MAR;20480;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);512000;21777785
Biobío;SAN PEDRO DE LA PAZ;12681-1;CALLE LOS PENSAMIENTOS MANZANA LOTE 1 Y 2 COMUNA SAN PEDRO DE LA PAZ;36209;..;1-disponible/recuperable;Centro (ref. mercado);506926;21561964
Metropolitana;SANTIAGO;33-4;BANDERA 46 - 52 COMUNA SANTIAGO;12551;PERMISO OCUPACION;2-posible;Centro (ref. mercado);439271;18684276
Metropolitana;SANTIAGO;159-1;CATEDRAL 1150 COMUNA SANTIAGO;12299;..;1-disponible/recuperable;Centro (ref. mercado);430451;18309120
Metropolitana;LO ESPEJO;4600-14;JORGE ALESSANDRI RODRIGUEZ 8887 LOTE B COMUNA LO ESPEJO;50140;PERMISO OCUPACION;2-posible;Centro (ref. mercado);401120;17061534
Metropolitana;QUINTA NORMAL;4055-35;LOTE 1C COMUNA QUINTA NORMAL;24859;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);397748;16918107
Metropolitana;SAN JOAQUIN;3325-3;COMERCIO 251 COMUNA SAN JOAQUIN;22680;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);385560;16399693
Biobío;CONCEPCION;SIN ROL;GENERAL OSCAR BONILLA LOTE 2 COMUNA CONCEPCION;20317;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);365702;15555038
Valparaíso;CARTAGENA;SIN ROL;COSTANERA DEL MAR SIN NUMERO LOTE 4 COMUNA CARTAGENA;71048;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);355242;15110125
Metropolitana;PADRE HURTADO;334-910 - 334-911 - 334-912;CAMINO A MELIPILLA 641 COMUNA PADRE HURTADO;58112;..;1-disponible/recuperable;Centro (ref. mercado);348670;14830587
Valparaíso;VALPARAISO;5131-1;PASAJE LAS QUINTAS MANZANA Q LOTE 1 COMUNA VALPARAISO;21473;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);322095;13700226
Antofagasta;ANTOFAGASTA;20000-37;LOTE 3C SECTOR CHAQUETA BLANCA COMUNA ANTOFAGASTA;76800;CONCESION GRATUITA;2-posible;Norte (gruesa);307200;13066671
Metropolitana;SANTIAGO;278-6;MATUCANA 501 - 573 COMUNA SANTIAGO;8766;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);306821;13050550
Antofagasta;ANTOFAGASTA;6770-2;LOTE B BARRIO INDUSTRIAL LA NEGRA SIN NUMERO COMUNA ANTOFAGASTA;75697;CONCESION GRATUITA;2-posible;Norte (gruesa);302788;12879008
Antofagasta;ANTOFAGASTA;1-14536;LOTE G ALTOS LA PORTADA COMUNA ANTOFAGASTA;74350;CONCESION GRATUITA;2-posible;Norte (gruesa);297400;12649831
Antofagasta;ANTOFAGASTA;16178-1;AVENIDA CIRCUNVALACION NORTE B COMUNA ANTOFAGASTA;73305;CONCESION GRATUITA;2-posible;Norte (gruesa);293220;12472036
Valparaíso;VINA DEL MAR;4659-812;ESMERALDA SIN NUMERO COMUNA VINA DEL MAR;11409;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);285225;12131970
Metropolitana;LA GRANJA;2214-4;LA VICTORIA 036 AL 0356 LOTE B LOTE C LOTE D Y LOTE E COMUNA LA GRANJA;28345;..;1-disponible/recuperable;Centro (ref. mercado);283453;12056599
Metropolitana;NUNOA;1571-3;ROSITA RENARD 1179 LOTE A COMUNA NUNOA;6707;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);281677;11981057
Metropolitana;RECOLETA;5396-2;DUQUE DE KENT 1020 COMUNA RECOLETA;14080;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);281600;11977782
Valparaíso;VINA DEL MAR;2360-14/2360-19;ALESSANDRI SIN NUMERO RESTO DEL PREDIO 9 LOTE 9B COMUNA VINA DEL MAR;11210;..;1-disponible/recuperable;Centro (ref. mercado);280246;11920190
Biobío;CONCEPCION;603-1;PAICAVI 1320 LOTE 1 COMUNA CONCEPCION;14987;..;1-disponible/recuperable;Centro (ref. mercado);269762;11474256
Metropolitana;SANTIAGO;1005-4;BASCUNAN GUERRERO 910 COMUNA SANTIAGO;7568;..;1-disponible/recuperable;Centro (ref. mercado);264894;11267197
Valparaíso;EL TABO;670-264 Y 670-265;ARMANDO CELIS SIN NUMERO LOTES NUMEROS 1, 2, 3, 5, 6 Y 7 COMUNA EL TABO;52816;..;1-disponible/recuperable;Centro (ref. mercado);264081;11232616
Metropolitana;SANTIAGO;107-254;AGUSTINAS 1269 COMUNA SANTIAGO;7494;..;1-disponible/recuperable;Centro (ref. mercado);262281;11156053
Antofagasta;ANTOFAGASTA;6746-1;HECTOR GOMEZ COBO SIN NUMERO LA NEGRA EXTENSION NORTE COMUNA ANTOFAGASTA;61298;ARRENDAMIENTO;2-posible;Norte (gruesa);245192;10429177
Antofagasta;ANTOFAGASTA;6744-6;LOTE 6 SECTOR LA NEGRA EXTENSION NORTE COMUNA ANTOFAGASTA;60001;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);240004;10208507
Metropolitana;RECOLETA;2576-1 - 2576-13 - 2576-14;ARZOBISPO VALDIVIESO 0186 COMUNA RECOLETA;11857;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);237139;10086645
Antofagasta;ANTOFAGASTA;25049-1;NUDO URIBE COMUNA ANTOFAGASTA;56947;ARRENDAMIENTO;2-posible;Norte (gruesa);227788;9688903
Antofagasta;ANTOFAGASTA;1037-3;LOTE A SECTOR ALTO LA PORTADA COMUNA ANTOFAGASTA;55100;CONCESION GRATUITA;2-posible;Norte (gruesa);220400;9374656
Valparaíso;EL TABO;335-34/335-9;DAGOBERTO GODOY SIN NUMERO LOTE 1-A LOTE 1-B LOTE 2 LOTE 3-A LOTE 3-B COMUNA EL TABO;43043;..;1-disponible/recuperable;Centro (ref. mercado);215215;9154113
Valparaíso;VALPARAISO;3063-1;CARCEL 491 LOTE 3A COMUNA VALPARAISO;14236;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);213537;9082740
Valparaíso;VALPARAISO;3159-5;LO VENEGAS SIN NUMERO COMUNA VALPARAISO;14155;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);212325;9031188
Valparaíso;VINA DEL MAR;2440-90;CIRCUNVALACION NORTE SIN NUMERO LOTE 1 Y 2 COMUNA VINA DEL MAR;8305;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);207625;8831275
Valparaíso;SAN ANTONIO;1530-1;IGNACIO VICUNA COMUNA SAN ANTONIO;25927;..;1-disponible/recuperable;Centro (ref. mercado);207414;8822300
Antofagasta;CALAMA;3801-3;ACCESO SUR DE CALAMA LOTE A COMUNA CALAMA;68000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);204000;8677086
Antofagasta;CALAMA;3801-2;ACCESO SUR DE CALAMA LOTE A COMUNA CALAMA;68000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);204000;8677086
Antofagasta;ANTOFAGASTA;6800-33;SECTOR MINERA ZALDIVAR COMUNA ANTOFAGASTA;49500;ARRENDAMIENTO;2-posible;Norte (gruesa);198000;8421878
Metropolitana;LA REINA;6030-5;LARRAIN 9900 LOTE A COMUNA LA REINA;6512;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);195346;8308991
Metropolitana;NUNOA;5962-4;RAMON CRUZ MONTT 1099 ENTRE RAUL SILVA CASTRO Y PASAJE LAS OLAS COMUNA NUNOA;4597;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);193059;8211714
Valparaíso;VILLA ALEMANA;229-8;BAQUEDANO 1151 Y VICTORIA 50 LOTE 1-A 1-B 1-C COMUNA VILLA ALEMANA;21397;..;1-disponible/recuperable;Centro (ref. mercado);192569;8190872
Antofagasta;CALAMA;3801-32;ACCESO SUR DE CALAMA COMUNA CALAMA;63800;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);191400;8141149
Valparaíso;VINA DEL MAR;366-42/366-43;SANTA INES MANZANA I LOTE 1 COMUNA VINA DEL MAR;7400;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);185000;7868926
Tarapacá;IQUIQUE;2427-1;MANZANA L, COMUNA IQUIQUE;30700;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);184200;7834899
Metropolitana;NUNOA;6403-1;VIA OCHO 1065 COMUNA NUNOA;4249;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);178450;7590324
Valparaíso;CARTAGENA;1099-9;LO ABARCA LOTE A COMUNA CARTAGENA;34900;..;1-disponible/recuperable;Centro (ref. mercado);174500;7422312
Valparaíso;VINA DEL MAR;2282-29, 2282-30, 2282-31 Y 2282-32;ANTONIO FERNANDEZ SIN NUMERO LOTE 1, LOTE 2, LOTE 3, Y LOTE 4 COMUNA VINA DEL MAR;6846;..;1-disponible/recuperable;Centro (ref. mercado);171161;7280288
Metropolitana;QUINTA NORMAL;4044-36;COSTANERA SUR LOTE 2 COMUNA QUINTA NORMAL;10385;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);166158;7067487
Antofagasta;CALAMA;3801-18;ACCESO SUR DE CALAMA LOTE B COMUNA CALAMA;54400;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);163200;6941669
Antofagasta;CALAMA;3801-19;ACCESO SUR DE CALAMA LOTE C COMUNA CALAMA;54400;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);163200;6941669
Metropolitana;QUINTA NORMAL;4034-33;LOTE 1A COMUNA QUINTA NORMAL;10180;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);162874;6927803
Valparaíso;VINA DEL MAR;2309-1;ESTANISLAO LOAIZA LOTE 1 Y 2 COMUNA VINA DEL MAR;6500;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);162500;6911895
Antofagasta;MEJILLONES;521-7;AL ESTE DE LA CIUDAD DE MEJILLONES COMUNA MEJILLONES;80098;CONCESION GRATUITA;2-posible;Norte (gruesa);160196;6813895
Metropolitana;VITACURA;111-5;DAG HAMMARSKJOLD 3209 LOTE 2B2 COMUNA VITACURA;1750;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);157500;6699221
Valparaíso;VINA DEL MAR;SIN ROL;INTERNACIONAL MANZANA H SITIO 1 COMUNA VINA DEL MAR;6250;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);156258;6646393
Valparaíso;VINA DEL MAR;708-1;LIMACHE 4755 EL SALTO COMUNA VINA DEL MAR;6211;..;1-disponible/recuperable;Centro (ref. mercado);155275;6604581
Antofagasta;ANTOFAGASTA;1-14532;LOTE C ALTOS LA PORTADA COMUNA ANTOFAGASTA;38728;CONCESION GRATUITA;2-posible;Norte (gruesa);154912;6589141
Valparaíso;VALPARAISO;1107-1/1107-13/1107-14/1107-15/1107-16/1107-17;SANTA MARTA 183 LOTE 1 Y ALCALDE BARRIOS 289 LOTE 2 COMUNA VALPARAISO;10319;..;1-disponible/recuperable;Centro (ref. mercado);154782;6583612
Valparaíso;VINA DEL MAR;2469-902 / 2469-903 / 2469-904;VEINTITRES PONIENTE LOTE 1 COMUNA VINA DEL MAR;6017;ARRENDAMIENTO;2-posible;Centro (ref. mercado);150425;6398288
Antofagasta;CALAMA;2009-124;SECTOR CHUNCHURI SITIO 32 COMUNA CALAMA;50100;CONCESION GRATUITA;2-posible;Norte (gruesa);150300;6392971
Metropolitana;PUDAHUEL;3747-1;EL COBRE 8605 LOTE A Y EL SALITRE 748 LOTE B COMUNA PUDAHUEL;18760;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);150079;6383571
Antofagasta;SAN PEDRO DE ATACAMA;3524-1;LOCALIDAD DE SAN PEDRO DE ATACAMA COMUNA SAN PEDRO DE ATACAMA;50000;CONCESION GRATUITA;2-posible;Norte (gruesa);150000;6380211
Antofagasta;CALAMA;3801-16;ACCESO SUR DE CALAMA LOTE B COMUNA CALAMA;49000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);147000;6252606
Antofagasta;CALAMA;3801-17;ACCESO SUR DE CALAMA LOTE C COMUNA CALAMA;49000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);147000;6252606
Antofagasta;CALAMA;18000-7;A 41,33 KMS AL SURESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA;48400;ARRENDAMIENTO;2-posible;Norte (gruesa);145200;6176044
Antofagasta;CALAMA;6069-1;SECTOR SUR DE CALAMA COMUNA CALAMA;47981;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);143943;6122578
Metropolitana;NUNOA;6406-19;VIA TRECE 1084 COMUNA NUNOA;3420;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);143640;6109690
Metropolitana;PENALOLEN;9005-4;JOSE ARRIETA 8200 COMUNA PENALOLEN;8895;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);142320;6053544
Metropolitana;RECOLETA;78-2;BELLAVISTA 180 COMUNA RECOLETA;7051;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);141011;5997866
Valparaíso;VALPARAISO;1506-1;PASAJE VEINTISEIS SIN NUMERO COMUNA VALPARAISO;9049;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);135728;5773155
Valparaíso;VALPARAISO;1089-1;SUBIDA AL CEMENTERIO SIN NUMERO COMUNA VALPARAISO;8906;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);133589;5682173
Antofagasta;MEJILLONES;501-13;LOTE B SECTOR INDUSTRIAL DE MEJILLONES COMUNA MEJILLONES;66500;ARRENDAMIENTO;2-posible;Norte (gruesa);133000;5657120
Tarapacá;ALTO HOSPICIO;SIN ROL;ALTO MOLLE COMUNA ALTO HOSPICIO;32500;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);130000;5529516
Metropolitana;SANTIAGO;35-4;LIBERTAD 1560 COMUNA SANTIAGO;3700;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);129516;5508929
Metropolitana;LA FLORIDA;710-33;VOLCAN CALBUCO 5850 COMUNA LA FLORIDA;9240;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);129360;5502294
Antofagasta;TALTAL;510-4;CALLE ARTURO PRAT LOTE 1 COMUNA TALTAL;85360;CONCESION GRATUITA;2-posible;Norte (gruesa);128040;5446148
Antofagasta;ANTOFAGASTA;25051-4;NUDO URIBE SIN NUMERO COMUNA ANTOFAGASTA;32006;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);128024;5445467
Antofagasta;SAN PEDRO DE ATACAMA;3505-68;SAN PEDRO DE ATACAMA AYLLO DE CATARPE COMUNA SAN PEDRO DE ATACAMA;42500;CONCESION GRATUITA;2-posible;Norte (gruesa);127500;5423179
Valparaíso;VINA DEL MAR;2466-461/2466-468/2466-469;PACIFICO 4321 LOTE 1 2 Y 3 COMUNA VINA DEL MAR;5035;..;1-disponible/recuperable;Centro (ref. mercado);125875;5354060
Metropolitana;QUINTA NORMAL;4044-37;COSTANERA SUR LOTE 3 COMUNA QUINTA NORMAL;7797;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);124759;5306591
Valparaíso;VINA DEL MAR;SIN ROL;INTERNACIONAL SIN NUMERO MANZANA H SITIO 2 COMUNA VINA DEL MAR;4970;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);124250;5284941
Metropolitana;ESTACION CENTRAL;450-16;MATUCANA 100 AL 214 COMUNA ESTACION CENTRAL;6724;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);121031;5148022
Antofagasta;CALAMA;16000-15;CERRITO BAYOS COMUNA CALAMA;40000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);120000;5104168
Antofagasta;CALAMA;716-3;CALLE DIEGO DE ALMAGRO ESQUINA CALLE COLONIA COMUNA CALAMA;39900;CONCESION GRATUITA;2-posible;Norte (gruesa);119700;5091408
Valparaíso;QUILPUE;775-2;CALLE COOPERACION 290 LOTES 1 Y 2 COMUNA QUILPUE;9902;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);118822;5054063
Antofagasta;TOCOPILLA;804-1;AL NOROESTE DEL LOTEO TRES MARIAS COMUNA TOCOPILLA;58394;CONCESION GRATUITA;2-posible;Norte (gruesa);116788;4967547
Biobío;SAN PEDRO DE LA PAZ;12016-1;PASAJE SARGENTO ALDEA 918 ESQUINA PASAJE LAS TORRES COMUNA SAN PEDRO DE LA PAZ;8320;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);116480;4954446
Metropolitana;LA CISTERNA;3240-1;INES RIVAS COMUNA LA CISTERNA;7197;..;1-disponible/recuperable;Centro (ref. mercado);115152;4897960
Valparaíso;VALPARAISO;6003-1;JOSE SANTOS OSSA SIN NUMERO COMUNA VALPARAISO;7628;..;1-disponible/recuperable;Centro (ref. mercado);114425;4867037
Antofagasta;SAN PEDRO DE ATACAMA;3510-125;PUKARA DE QUITOR COMUNA SAN PEDRO DE ATACAMA;38000;CONCESION GRATUITA;2-posible;Norte (gruesa);114000;4848960
Antofagasta;ANTOFAGASTA;45000-64;A 48 KMS APROX AL ESTE DEL BARRIO INDUSTRIAL LA NEGRA COMUNA ANTOFAGASTA;28000;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);112000;4763891
Valparaíso;CARTAGENA;1001-40;COSTANERA DEL MAR SIN NUMERO LOTE 15 COMUNA CARTAGENA;22338;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);111691;4750747
Antofagasta;ANTOFAGASTA;16351-1 Y 16531-2;INTERSECCION CALLE BENITO OCAMPO OFICINA ANITA LOTE 1 Y LOTE 2 SECTOR LA CHIMBA BAJO COMUNA A;27844;CONCESION GRATUITA;2-posible;Norte (gruesa);111376;4737349
Metropolitana;PENALOLEN;7188-1, 7188-3 Y 7188-4;GRECIA 6891 COMUNA PENALOLEN;6826;..;1-disponible/recuperable;Centro (ref. mercado);109220;4645644
Metropolitana;LO ESPEJO;3930-2;JOSE JOAQUIN PRIETO 7271 COMUNA LO ESPEJO;13650;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);109200;4644793
Antofagasta;SAN PEDRO DE ATACAMA;3510-170;AYLLO DE QUITOR COMUNA SAN PEDRO DE ATACAMA;36400;CONCESION GRATUITA;2-posible;Norte (gruesa);109200;4644793
Metropolitana;SANTIAGO;36-10;MONEDA 1326 LOTE A COMUNA SANTIAGO;2999;..;1-disponible/recuperable;Centro (ref. mercado);104971;4464914
Tarapacá;ALTO HOSPICIO;5362-6 PREASIGNADO;LOTE 8 MANZANA A COMUNA ALTO HOSPICIO;25881;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);103524;4403366
Antofagasta;ANTOFAGASTA;1499-32;IQUIQUE 4771 AL 4799 COMUNA ANTOFAGASTA;24736;CONCESION GRATUITA;2-posible;Norte (gruesa);98944;4208557
Valparaíso;CARTAGENA;4303-6;FERNANDO CALVO Y SEXTA Y SEPTIMA ORIENTE LOTES 1, 2, 3, 4 Y 5 COMUNA CARTAGENA;19496;..;1-disponible/recuperable;Centro (ref. mercado);97480;4146286
Antofagasta;CALAMA;3487-2;COSTADO NORTE DE LA CIUDAD DE CALAMA COMUNA CALAMA;32300;ARRENDAMIENTO;2-posible;Norte (gruesa);96900;4121616
Biobío;SAN PEDRO DE LA PAZ;12680-1;LAS VIOLETAS ESQUINA ENRIQUE SORO COMUNA SAN PEDRO DE LA PAZ;6782;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);94949;4038631
Antofagasta;CALAMA;16000-20;SECTOR LIMON VERDE COMUNA CALAMA;31100;ARRENDAMIENTO;2-posible;Norte (gruesa);93300;3968491
Metropolitana;LO BARNECHEA;4065-10;LO BARNECHEA 1280 COMUNA LO BARNECHEA;2296;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);91844;3906560
Valparaíso;VINA DEL MAR;3705-2;SAN PEDRO DE ATACAMA SIN NUMERO LOTE 2 COMUNA VINA DEL MAR;3554;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);88857;3779509
Metropolitana;LA FLORIDA;793-11;ACONCAGUA 8289 COMUNA LA FLORIDA;6300;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);88200;3751564
Antofagasta;ANTOFAGASTA;16208-10;EDMUNDO PEREZ ZUJOVIC SIN NUMERO COMUNA ANTOFAGASTA;22041;CONCESION GRATUITA;2-posible;Norte (gruesa);88164;3750033
Antofagasta;CALAMA;6070-38;MANZANA 6 B LOTE 2 SECTOR TOPATER COMUNA CALAMA;29378;CONCESION GRATUITA;2-posible;Norte (gruesa);88134;3748756
Metropolitana;NUNOA;2462-1;PASAJE NUEVE 4850 COMUNA NUNOA;2098;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);88121;3748204
Metropolitana;SANTIAGO;393-7;BERNARDO OHIGGINS 1642 LOTE A Y ALONSO OVALLE 1637 LOTE B COMUNA SANTIAGO;2488;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);87063;3703202
Metropolitana;LA REINA;6706-50;MAMINA 9621 COMUNA LA REINA;2885;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);86537;3680829
Metropolitana;SANTIAGO;1012-256;MARCOLETA HOY BARON PIERRE DE COUBERTIN COMUNA SANTIAGO;2456;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);85976;3656967
Metropolitana;LA REINA;6200-3;QUILLAGUA 81 Y SALAR DEL CARMEN 81 COMUNA LA REINA;2830;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);84901;3611242
Antofagasta;ANTOFAGASTA;1-14535;LOTE F ALTOS LA PORTADA COMUNA ANTOFAGASTA;21218;CONCESION GRATUITA;2-posible;Norte (gruesa);84872;3610008
Antofagasta;ANTOFAGASTA;25051-7;SECTOR NUDO URIBE SIN NUMERO COMUNA ANTOFAGASTA;21103;ARRENDAMIENTO;2-posible;Norte (gruesa);84412;3590442
Metropolitana;SAN JOAQUIN;5496-1;CONIMO 286 COMUNA SAN JOAQUIN;4949;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);84129;3578405
Antofagasta;ANTOFAGASTA;20000-49;SECTOR SALAR DEL CARMEN LOTE 2 COMUNA ANTOFAGASTA;20963;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);83852;3566623
Tarapacá;POZO ALMONTE;PREASIGNADO;LOTE C COMUNA POZO ALMONTE;41300;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);82600;3513369
Metropolitana;SANTIAGO;308-2;CHACABUCO 430 COMUNA SANTIAGO;2348;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);82163;3494782
