ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
35-21;Vina Del Mar;VA;E7-C1;Zona E7-C1;Residencial. Equipamiento de comercio, culto, cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Espacio publico y área verde;Se prohibe expresamente:  estacion de servicio automotriz;17/12/1980;Decreto 329;;Población Vergara;PRC_Vina_del_Mar
663-25;Quilpue;VA;ZR8;Habitacional, densidad baja, baja altura;"Residencial: Vivienda, Hospedaje, Hogares de acogida; Equipamiento: Comercio, Culto y Cultura, Deporte, Educación, Esparcimiento, Salud, Seguridad, Servicios, Social; Infraestructura; Espacio Público; Área Verde. Para ver en detalle las actividades pemiti";Todos los no señalados como permitidos;26-07-2019;Decreto 2732;;Quilpué;PRC_Quilpue
8157-1;San Antonio;VA;ZR2;ZR2 Zona residencial 2;"Residencial; equipamiento científico, comercial, culto y cultura, deportivo, educacional, esparcimiento, salud, seguridad, servicio, taller artesanal inofensivo, terminal externo y est. intercambio modal, áreas verdes y espacios públic";Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.;;;;San Antonio;PRC_San_Antonio
366-15;Vina Del Mar;VA;E5;Zona E5;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
93-2;Villa Alemana;VA;AV1;AV1 Áreas especiales;Equipamiento de áreas libres, de esparcimiento regional y áreas verdes.;Todos los no señalados como permitidos.;;;;Villa Alemana;PRC_Villa_Alemana
8103-38 Y 8103-1;Valparaiso;VA;ZCHPyE;Zona de Conservación Histórica Cerros Placeres y Esperanza;"Residencia: vivenda: hospedaje; Equipamiento: se permiten solo los actualmente existentes; Act. Productiva: inofensivas del comercio existente; Infraestructura: solamente las existenes; Espacio Público y Áreas Verdes. Para mayor detalle revisar ordenanza local";"Residencial: hoteles; Equipamiento: todos los no indicados en la memoria; Act. Productiva: las que no son parte de la memoria; Infraestructura: todas las que no son parte de la memoria";21/03/2005;Decreto 205;;Valparaíso;PRC_Valparaiso
SIN ROL;Penalolen;RM;S.M.1;Zona S.M.1;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal de distribución, taller molesto; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensivo, molesta, insalubre";27/07/1989;Decreto 55;55 de fecha 28.04.89/ D.O. 27.07.89;Peñalolen;PRC_Peñalolén
143-0001;Concepcion;BB;C2;C2 Centro de servicios y equipamiento;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Centro;PRC_Concepcion
177-5;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
2823-24;San Antonio;VA;ZM3;ZM3 Zona Mixta 3;Residencial, equipamiento: científico, comercial, culto y cultura, deporte, educación,  esparcimiento, salud, seguridad, social, servicio, infraest. sanitaria, áreas verdes y espacios públicos. Para mayor especificación revisar Orden;Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.;;;;San Antonio;PRC_San_Antonio
2360-8/2360-17/2360-18;Vina Del Mar;VA;E5;Zona E5;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
615-1/612-3/612-4;Vina Del Mar;VA;AV;Zona Jardines Ladera;Jardines y laderas.;Todos los no mencionados como permitidos.;;;;Cerro Castillo;Seccional_Vina_del_Mar_Cerro_Castillo
335-34/335-9;El Tabo;VA;Z7;Zona Z7;"Vivienda; equipamiento de área verdes, deporte, campamentos turísticos; almacenamiento de tipo inofensivo, establecimientos de impacto similar de tipo inofensivo, servicios artesanales. Mayor detalle en ordenanza.";Todos aquellos no señalados como permitidos.;;;;El Tabo;PRC_El_Tabo
1530-1;San Antonio;VA;ZM2;ZM2 Zona Mixta 2;Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan;Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.;;;;San Antonio;PRC_San_Antonio
229-8;Villa Alemana;VA;AV3;AV3 Áreas especiales;Equipamiento de áreas libres, esparcimiento regional y áreas verdes.;Todos los no señalados como permitidos.;;;;Villa Alemana;PRC_Villa_Alemana
1099-9;Cartagena;VA;E2;Zona E2 Protección Esteros Restricción;No se permite ningún uso. Corresponderá a una faja de 20 m. mínimo medidos a cada lado del eje.;No específica la Ordenanza.;;;;Cartagena;PRC_Cartagena
213-3;Valparaiso;VA;ZCHAL-V;ZCHAL-V Zona de Conservación Histórica Almendral Victoria;"Vivienda; Comercio; Oficinas; áreas Verdes, Vialidad; Equipamiento de: Educación, Culto, Cultura, Salud, Seguridad, Organizaciones Comunitarias, Deportes, Esparcimientos, Turismo. Más detalle revisar Ordenanza.";Todos los no mencionados como permitidos.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
73-1;Valparaiso;VA;ZCHAL-B;Zona ZCHAL-B;Vivienda, comercio, oficinas ,áreas verdes, vialidad. Equipamiento de: educación, culto, cultura, salud, seguridad, deporte, esparcimiento, turismo, bombas de bencina, servicios, industrias y bodegas inofensivas. Más detalle en Ordenanza.;Todos los no mencionados como permitidos y específicamente: equipamiento de actividad comercial y servicios artesanales en espacios abiertos y terminales de buses.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
670-264 Y 670-265;El Tabo;VA;Z3;Zona Z3;"Vivienda; equipamiento de áreas verdes, esparcimeinto y turismo (sólo hoteles, moteles y campings) interubana; actividades productivas, servicios artesanales de todos tipo.  Mayor detalle en ordenanza.";Todos aquellos no señalados como permitidos.;;;;El Tabo;PRC_El_Tabo
SIN ROL;Chiguayante;BB;ZU3-B;ZU3-B Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas. Espacio publico. Area verde.;Todos los usos de suelo no mencionados como permitidos.;9° Modificacion PRC Chiguayante. Decreto Alc. N°333. Fecha de promulgacion 09.02.2018. Fecha de publicacion D.O. 16.03.2018.;;;Chiguayante;PRC_Chiguayante
1571-3;Nunoa;RM;Área de restricción;;;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa_AP
5396-2;Recoleta;RM;Zona de riesgo No Edificable;Zona de riesgo No Edificable;Equipamiento intercomunal, comunal y vecinal de: áreas verdes y deporte, culto, cultura, esparcimientto y turismo al aire libre, como usos complementarios al principal de área verde.;;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
2576-1 - 2576-13 - 2576-14;Recoleta;RM;Área Norte y Oriente;Área Norte y Oriente;"Residencial: vivienda y hospedaje; Equipamientode  todas las clases y escalas establecidas con excepción de los prohibidos; Actividades Producuctiva, almacenamiento: bodega; Espacio Público; Área verde. Detalle en Ordenanza.";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
6403-1;Nunoa;RM;Z-4m;Z-4m;Residencial, Equipamientos: revisar ordenanza;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa
710-33;La Florida;RM;U-VEV4;U-VEV4 Zona de Vivienda y Equipamiento Vecinal N°4;"Residencial; equip. de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; act. productiva peligrosa, contaminante y molesta; infr. de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
3930-2;Lo Espejo;RM;ZU-8;ZU-8 Zona Deportiva y recreacional;"Equipamiento comercial local y deporte intercomunal; infraestructura de transporte; espacio público y áreas verde.";"Residencial; equipamiento no mencionado anteriormente; actividad productiva; infraestructura sanitaria, energética y pesca.";07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
4065-10;Lo Barnechea;RM;ZM-2;;;;04/09/2002;Decreto 1295;uso prohibido no capturado (fusion captura 1);;PRC_Lo_Barnechea
793-11;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
1012-256;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
1101-2;La Florida;RM;U-VEV4;U-VEV4 Zona de Vivienda y Equipamiento Vecinal N°4;"Residencial; equip. de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; act. productiva peligrosa, contaminante y molesta; infr. de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
5513-187;La Reina;RM;C;C Zona Residencial con Equipamiento Restringido;"Residencial; equipamiento de comercio, culto y cultura, deporte, educación, salud, esparcimiento, seguridad, servicios y social; espacio público y áreas verdes. Para mayor detalle revisar ordenanza.";;22/11/2001;Resolución 65;uso prohibido no capturado (fusion captura 1);;PRC_La_Reina
356-1;San Ramon;RM;Zona 6;Zona 6 Quintas Residenciales 800 m2;Residencial, además de establecimientos comerciales, o industriales agropecuarios con autorización especial de la Municipalidad.;Todo uso no mencionado como permitido, en especial la instalación de industrias y artesanías.;22/06/1952;Decreto 1469;;San Ramón;PRC_San_Ramón
4246-26;San Miguel;RM;Z-5;Z-5 Mixto;"Vivienda y hospedaje; Equipamiento de comercio, servicio, culto y cultura, esparcimiento, seguridad, educación, salud, deportivo, social; Talleres, industria inofensiva; Infraestructura de transporte, energética; Áreas verdes. Mayor detalle en Ordenan";"Equipamiento, mayor detalle en ordenanza; Actividad productiva, establecimientos industriales inofensivos, peligrosos, insalubres o contaminantes; infraestructura de transporte y sanitaria, Mayor detalle en Ordenanza.";25/11/2016;Decreto 2500;;San Miguel;PRC_San_Miguel
1079-2;Puente Alto;RM;H2;H2 Zona de Residencial y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
963-5;Santiago;RM;IPI;IPI Zonas PRMS;Segun Plan Regulador Metropolitano de Santiago;;29/09/1993;Decreto 301;uso prohibido no capturado (fusion captura 1);;PRC_Estacion_Central
12292-76;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
5082-9;Estacion Central;RM;IPX;IPX Zonas seccionales;Segun seccional comunal;;29/09/1993;Decreto 301;uso prohibido no capturado (fusion captura 1);;PRC_Estacion_Central
1233-188;Vitacura;RM;R-2;R-2 Área de Resguardo Aerodromo Municipal de las Condes;Revisar ordenanza por zonas restringidas al desarrollo urbano;;30/12/1999;Resolución 59;uso prohibido no capturado (fusion captura 1);;PRC_Vitacura_Área_de_riesgo
5843-1, 5843-2, 5843-3, 5843-4, 5843-7, 5843-8, 5843-9, 5843-10, 5843-11 Y 5843-12;San Miguel;RM;AR1;AR1 Área de protección de canales;No podrán ejecutarse edificaciones, que incluyen además dos franjas libre de protección de 3 metros a cada lado de los mismos, no obstante lo cual, en  dichas franjas laterales pueden realizarse obras de infraetsructura sanitaria y energética.;Para mayor detalle revisar ordenanza municipal;25/11/2016;Decreto 2500;;San Miguel;PRC_San_Miguel_área_de_riesgo
3095-91;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
838-905;San Joaquin;RM;ZU6;Zona Residencial Mixta de Densidad Media;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; industria, talleres, almacenaje y bodegaje calificados como inofensivas; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Residencial: hospedaje (algunas actividades); Equipamiento: comercio (algunas actividades), deporte (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje calificados como molestas, contaminantes o insalubres y peligrosas; Infraestructura. El detalle de las a*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
5271-1;La Granja;RM;ZH-3;ZH-3 Zona Residencial Densidad Baja;"Residencial, equipamiento comercial local, culto, deporte,  educación, salud, seguridad, servicios, social, oficina y científico; infraestructura sanitaria y energética; actividad productiva inofensiva; espacio público y áreas verdes.";"Equipamiento de esparcimiento, turismo y cementerio; actividad productiva peligrosa, molesta y contaminante; infraestructura de transporte.";27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
4705-11;La Reina;RM;C;C Zona Residencial con Equipamiento Restringido;"Residencial; equipamiento de comercio, culto y cultura, deporte, educación, salud, esparcimiento, seguridad, servicios y social; espacio público y áreas verdes. Para mayor detalle revisar ordenanza.";;22/11/2001;Resolución 65;uso prohibido no capturado (fusion captura 1);;PRC_La_Reina
53-24;Nunoa;RM;Área de restricción;;;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa_AP
201-7;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
8163-1;Macul;RM;ZR-8;Zona Residencial, Densidad Baja;"Residencial: Vivienda unifamiliar, edificaciones colectivas, conjuntos de viciendas; Equipamientos: Comercio, culto y cultura, deporte, educación, salud, seguridad, servicios, social.Detalle de actividades de las clases de equipamiento ver en Ordenz*";Equipamiento: Científico, establecimientos de investigación, divulgación y formación científica. Comercio, grandes tiendas, mercados, estaciones o centros de servicios automotor, fuente de soda, bares, discotecas, similares. Culto y cultura, catedra*;08/05/2004;Decreto 552;;Macul;PRC_Macul
5307-8;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
5274-20;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
15180-223;El Bosque;RM;LM;Zona SECCIONAL LO MORENO;"Residencial; equipamiento; actividad productiva.";Todo uso no mencionado como permitido.;18/10/1983;Decreto 110;;El Bosque;PRC_El_Bosque
4818-1;San Joaquin;RM;AV;Plazas y Parques Existentes;Corresponden a plazas, parques y áreas verdes públicas, en su calidad de bienes nacionales de uso público existentes, las que se rigen por lo dispuesto en la OGUC para el tipo de uso Espacio Público;;06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
438-88;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
751-43;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
317-22;Padre Hurtado;RM;B1;B1 Zona Corredor Mixto Regional 450 Hab/há;"Equipamiento Mayor, mediano, menor y/o básico científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; vivienda; espacio público y áreas verdes.";Todos los no incluidos como permitidos, además de cementerios, crematorios, cárceles y centros de detención.;04/02/2005;Resolución 92;;Padre Hurtado;PRC_Padre_Hurtado
5238-1;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
5443-13;San Joaquin;RM;ZU2a;Zona Residencial de Densidad Baja A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
1210-7;Nunoa;RM;Z-4C;Z-4C;Residencial, Equipamientos: revisar ordenanza;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa
109-736;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
109-744;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
109-737;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
2835-9;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
213-1;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
5217-1;San Joaquin;RM;ZE;zona de Equipamiento Exclusivo;"Equipamiento: científico, educación, salud, esparcimiento, culto y cultura, social y seguridad; Áreas Verdes; Espacio Público";Todos los mencionados como permitidos;06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
29403;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
5273-2;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92;Peñalolen;PRC_Peñalolén
5432-36;Nunoa;RM;Áreas verdes;Áreas verdes;Áreas verdes - espacio público;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa
5639-3;Nunoa;RM;Z-2;Z-2;"Residencial: todos; Área verde; Espacio Público; Equipamiento";;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa
1830-4;San Ramon;RM;Zona 4;Zona 4 Residencial Económica. 200 m2;Residencial, además de instalaciones de artesanías;Todo uso no mencionado como permitido.;22/06/1952;Decreto 1469;;San Ramón;PRC_San_Ramón
2707-21;Puente Alto;RM;H1;H1 Zona de Residencial y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
7043-1;La Pintana;RM;PRMS;PRMS;PRMS;PRMS;22/10/1952;Decreto 1459;Comuna regida por el PRMS;La Pintana;PRC_La_Pintana
6687-465;Macul;RM;ZM-4;ZM-4 Zona Residencial Mixta, Densidad Media;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio, social, oficina, turismo y científico intercomunal; espacio público y áreas verdes.";"Actividad productiva; infraestructura de transporte.";08/05/2004;Decreto 552;;Macul;PRC_Macul
265-2;Santiago;RM;D;Zona D;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3924-10;Quinta Normal;RM;K;Eje preferente de equipamiento, comercio y servicios K;"Residencial: vivienda, hospedaje, hogares; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; Espacio público y Área verde.";;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
759-7;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
6289-1;Penalolen;RM;S.M.1;Zona S.M.1;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal de distribución, taller molesto; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensivo, molesta, insalubre";27/07/1989;Decreto 55;Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92;Peñalolen;PRC_Peñalolén
5580-4;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92;Peñalolen;PRC_Peñalolén
3215-35;San Joaquin;RM;ZE;zona de Equipamiento Exclusivo;"Equipamiento: científico, educación, salud, esparcimiento, culto y cultura, social y seguridad; Áreas Verdes; Espacio Público";Todos los mencionados como permitidos;06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
3415-1;La Florida;RM;PL;PL Zona de Plazas;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
9076-7;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
905-6;San Joaquin;RM;ZI-m;ZI-m Zona de Industrial Mixta, Densidad Alta;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio, social, oficina, turismo y científico; actividad productiva inofensiva; espacio público y áreas verdes.";Actividad productiva peligrosa, contaminante y molesta.;08/05/2004;Decreto 552;;Macul;PRC_Macul
3600-31;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
3013-24;La Reina;RM;R.1;Zona R.1;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, servicentro, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, mole*";27/07/1989;Decreto 55;55 de fecha 28.04.89/ D.O. 27.07.89;Peñalolen;PRC_Peñalolén
1808-143;La Reina;RM;PC-1;PC-1 Zona Polo De Equipamiento: Vicente Pérez Rosales - Simón Bolívar;"Residencial; equipamiento de comercio, culto y cultura, deporte,  educación, esparcimiento,  salud, seguridad, servicio y social; espacio público y áreas verdes. Para mayor detalle revisar ordenanza.";;22/11/2001;Resolución 65;uso prohibido no capturado (fusion captura 1);;PRC_La_Reina
1866-1;Pudahuel;RM;A;Zona A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
