REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"13- REGION METROPOLITANA";"ESTACION CENTRAL";"398-1";"LAS ENCINAS 97 COMUNA ESTACION CENTRAL";"2200";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"39600";"1684376"
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"2223-21";"LOS RANUNCULOS SIN NUMERO COMUNA VINA DEL MAR";"1575";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"39375";"1674805"
"05- REGION DE VALPARAÍSO";"VILLA ALEMANA";"907-11";"LOS EUCALIPTUS COMUNA VILLA ALEMANA";"4308";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"38772";"1649157"
"08- REGION DEL BIOBIO";"CONCEPCION";"590-13";"CALLE SERRANO 1312 ESQUINA PRIETO";"2141";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"38542";"1639374"
"13- REGION METROPOLITANA";"SANTIAGO";"556-8";"REPUBLICA 97 COMUNA SANTIAGO";"1096";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"38360";"1631633"
"08- REGION DEL BIOBIO";"CONCEPCION";"1360-27";"PASAJE C 2022 POBLACION TENIENTE MERINO I COMUNA CONCEPCION";"2131";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"38351";"1631250"
"13- REGION METROPOLITANA";"SANTIAGO";"42-50";"AMUNATEGUI 66 COMUNA SANTIAGO";"1095";"..";"1-disponible/recuperable";"38325";"1630144"
"13- REGION METROPOLITANA";"NUNOA";"3903-32";"LO ENCALADA 207 COMUNA NUNOA";"906";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"38036";"1617851"
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"2380-22";"CARLOS IBANEZ DEL CAMPO SIN NUMERO LOTES A, B, C Y D COMUNA VINA DEL MAR";"1519";"..";"1-disponible/recuperable";"37983";"1615597"
"05- REGION DE VALPARAÍSO";"PUCHUNCAVI";"218-66";"VENTANA QUINTERO SIN NUMERO COMUNA PUCHUNCAVI";"6284";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"37702";"1603645"
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"2462-440";"SIN NOMBRE LOTE 203 COMUNA VINA DEL MAR";"1502";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"37550";"1597179"
"13- REGION METROPOLITANA";"PUENTE ALTO";"331-2";"GANDARILLAS 115 COMUNA PUENTE ALTO";"3640";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"36400";"1548264"
"13- REGION METROPOLITANA";"VITACURA";"1911-33";"LAS HUALTATAS 7380 COMUNA VITACURA";"403";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"36225";"1540821"
"13- REGION METROPOLITANA";"VITACURA";"1233-188";"JACQUES CAZOTTE FRENTE AL 5600 COMUNA VITACURA";"401";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"36104";"1535674"
"13- REGION METROPOLITANA";"SAN MIGUEL";"5843-1, 5843-2, 5843-3, 5843-4, 5843-7, 5843-8, 5843-9, 5843-10, 5843-11 Y 5843-12";"MANZANA D PASAJE 1 5885 SITIO 1; 5889 SITIO 12; PASAJE 2 513 SITIO 11; 517 SITIO 10; 519 SITI";"1637";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"36010";"1531676"
"08- REGION DEL BIOBIO";"CONCEPCION";"6481-21";"CALLE FRAY JUAN SALGUERO 209 (EX PASAJE ONCE 289) COMUNA CONCEPCION";"1980";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"35640";"1515938"
