id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"495";"3301-714";"";"";"";"0";"";"0";"";""
"496";"3751-36";"";"";"";"0";"";"0";"";""
"497";"16042-6";"";"";"";"0";"";"0";"";""
"499";"5207-5";"";"";"";"0";"";"0";"";""
"501";"60-1";"";"";"";"0";"";"0";"";""
"502";"717-1";"";"";"";"0";"";"0";"";""
"503";"6053-1";"";"";"";"0";"";"0";"";""
"505";"84-4";"";"";"";"0";"";"0";"";""
"506";"1955-1";"";"";"";"0";"";"0";"";""
"509";"331-1";"";"";"";"0";"";"0";"";""
"512";"6038-2";"";"";"";"0";"";"0";"";""
"513";"6365-3";"";"";"";"0";"";"0";"";""
"514";"5207-2";"";"";"";"0";"";"0";"";""
"515";"6051-1";"";"";"";"0";"";"0";"";""
