REGION;ROL;NOMBRE;COMUNA;LAT;LON
"Antofagasta";"5315-17";"SITIO 17 MANZANA E-2 SECTOR PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.435735791126792";"-68.89917524714414"
"Antofagasta";"5315-20";"LOTE 20 MANZANA E-2 PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.434845159859602";"-68.89938979389785"
"Antofagasta";"1240-43";"SITIO 10 AVENIDA TENIENTE MERINO 3551 COMUNA DE CALAMA";"CALAMA";"-22.444952040706525";"-68.90209155020897"
"Antofagasta";"3451-32";"A APROX 67 KM AL NORESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-21.948058117382736";"-68.52772123102164"
"Antofagasta";"5301-10";"GILBERTO GOMEZ CONTARDO SIN NUMERO LOTE 19 MANZANA A-1 SECTOR AMPLIACION PUERTO SECO COMUNA C";"CALAMA";"-22.433424817139553";"-68.90784505798815"
"Antofagasta";"1240-1";"CHORRILLOS 641 COMUNA CALAMA";"CALAMA";"-22.452326248137222";"-68.90643223978347"
"Antofagasta";"6073-7";"SITIO 7 MANZANA B EL VERGEL COMUNA CALAMA";"CALAMA";"-22.481021751281435";"-68.91431001609928"
"Antofagasta";"5303-4";"GILBERTO GOMEZ CONTARDO SIN NUMERO SITIO 11-A MANZANA C-1 PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.437218591917162";"-68.90371075110257"
"Antofagasta";"930-4";"GRANADEROS 720 MANZANA 930 SITIO 4 COMUNA CALAMA";"CALAMA";"-22.45939311402017";"-68.92818106984555"
"Antofagasta";"5315-21";"MANZANA E-2 LOTE 21 SECTOR PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.434545849248007";"-68.89946121516661"
"Antofagasta";"5315-13";"BARRIO INDUSTRIAL SECTOR PUERTO SECO MANZANA E-2 LOTE 13 COMUNA CALAMA";"CALAMA";"-22.436927007909418";"-68.89888757816773"
"Antofagasta";"5305-9";"LOTE 4 MANZANA E-1 PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43481329679971";"-68.90019427895702"
"Antofagasta";"15000-26";"PAMPA MOCTEZUMA LOTE B A 12 KM AL SURESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.573348303433036";"-68.87400009544581"
"Antofagasta";"5319-1";"MARTIN VEGA PIZARRO SIN NUMERO SITIO 9 MANZANA C-3 PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.437686331828875";"-68.90120821385047"
"Antofagasta";"5317-5";"ALBERTO TERRAZAS VIRREYRA SIN NUMERO SECTOR PUERTO SECO MANZANA A-2 LOTE 5 COMUNA CALAMA";"CALAMA";"-22.43336880871188";"-68.90491737753639"
"Antofagasta";"5311-6";"SITIO 6 MANZANA K AMPLIACION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43872749531985";"-68.89824138143642"
"Antofagasta";"5314-5";"MANZANA 11 SITIO 5 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.44228544991131";"-68.87956757136628"
"Antofagasta";"5315-14";"LOTE 14 MANZANA E-2 SECTOR PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.436629334181156";"-68.89895934421138"
"Antofagasta";"5305-13";"CALLE TRES SIN NUMERO LOTE 13 MANZANA E-1 PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.436861946334208";"-68.90033258407658"
"Antofagasta";"2009-124";"SECTOR CHUNCHURI SITIO 32 COMUNA CALAMA";"CALAMA";"-22.483591697849093";"-68.9651988986068"
"Antofagasta";"5305-19";"CALLE TRES SIN NUMERO MANZANA E-1 LOTE 19 BARRIO INDUSTRIAL PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.435125430113764";"-68.90075198546813"
"Antofagasta";"2004-371";"SECTOR LA BANDA COMUNA CALAMA";"CALAMA";"-22.481793332265568";"-68.9265258158952"
"Antofagasta";"301-504";"LOTE 5 MANZANA 3 SECTOR SUR DE MEJILLONES COMUNA MEJILLONES";"MEJILLONES";"-23.109317684974112";"-70.44871072957794"
"Antofagasta";"NO ENROLADO";"TRANQUE DE CONCHI LOTE B COMUNA CALAMA";"CALAMA";"-22.027557887408456";"-68.62367305656608"
"Antofagasta";"12000-15";"A 18 KM AL OESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.486111471799543";"-69.11628965635674"
"Antofagasta";"740-1";"CALLE ALONSO DE ERCILLA 3198 LOTE 5 COMUNA CALAMA";"CALAMA";"-22.451025953504008";"-68.94273782080225"
"Antofagasta";"740-2";"CALLE ALONSO DE ERCILLA 3204 POBLACION ALEMANIA LOTE 2 COMUNA CALAMA";"CALAMA";"-22.451074263843473";"-68.94394165431905"
"Antofagasta";"5315-12";"BARRIO INDUSTRIAL SECTOR PUERTO SECO MANZANA E-2 LOTE 12 COMUNA CALAMA";"CALAMA";"-22.437226429480745";"-68.89881489987107"
"Antofagasta";"5315-18";"BARRIO INDUSTRIAL SECTOR PUERTO SECO MANZANA E-2 LOTE 18 COMUNA CALAMA";"CALAMA";"-22.43543886551678";"-68.89924692441274"
"Antofagasta";"347-4";"SECTOR BARRILES COMUNA TOCOPILLA";"TOCOPILLA";"-22.163539091187157";"-70.09190588127268"
"Antofagasta";"5313-16";"MANZANA L SITIO 16 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.438350207639782";"-68.88138385781268"
"Antofagasta";"5313-16";"MANZANA L SITIO 17 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43846268332247";"-68.881959515605"
"Antofagasta";"17000-12";"A 18,84 KM AL SURESTE DE CALAMA COMUNA CALAMA";"CALAMA";"-22.55290422815207";"-68.75904459428304"
"Antofagasta";"5313-19";"MANZANA L SITIO 18 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43857503844305";"-68.88253522624267"
"Antofagasta";"5313-20";"MANZANA L SITIO 19 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.438687385731452";"-68.88311093807737"
