ROL_SII;COMUNA;REG;__CAPA;__SERVICIO;Región;Comuna;Nombre;Instrumento;Administrador;Fecha publicación Diario Oficial;N° documento;Tipo documento;Localidad;Zona;Uso permitido;Uso prohibido;Nombre de zona;Fecha publicación en DO;Número de documento;Tipo de documento;Observación;Capa;Barrio;Nombre zona;Diario Oficial;Código único territorial;Sector;Diario oficial;Código Único Territorial;Documento;Normativa;LOC;ZONA;NOM;UPERM;UPROH;P_DO;N_DOC;T_DO;OBS
"2380-22";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"E5";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.";"Todos los no mencionados como permitidos.";"Zona E5";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2045-1";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHLF";"Residencial. Equipamiento de: comercio, educación, culto y cultura, deporte, salud, seguridad y servicios. Actividades productivas inofensivas.. Infraestructura ya existente sin amplificaciones futuras. Espacio público y áreas verdes.";"Equipamiento no mencionado como permitidos, actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.";"Zona ZCHLF";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1223-18";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V10/RU-3";"Residencial. Equipamiento de: comercio,científico, culto, cultura, deporte, educación, salud, servicios, social, infraestructura transportes. Espacio público y áreas verdes. Más detalle revisar Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V10/RU-3";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6815-8";"San Antonio";"VA";"PRC_San_Antonio";"PRC_Valpara%C3%ADso";"Valparaíso";"San Antonio";"";"";"";"";"";"";"";"ZM2";"Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan";"Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.";"ZM2 Zona Mixta 2";"";"";"";"";"PRC San Antonio";"";"";"";"";"San Antonio";"";"05601";"";"";"";"";"";"";"";"";"";"";""
"6114-9";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCH-DR";"Residencial. Equipamiento de: comercio, oficinas, salud, educación, seguridad, comunitario y recreativo. Espacio público de áreas verdes y vialidad. Actividades productivas inofensivas.";"Todos los no mencionados como permitidos.";"ZCH-DR";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1001-43/1001-44/1001-45/1001-46/1001-47/1001-48/1001-49";"Cartagena";"VA";"PRC_Cartagena";"PRC_Valpara%C3%ADso";"Valparaíso";"Cartagena";"";"";"";"";"";"";"";"E";"Sólo se permitirán las instalaciones complementarias a las actividades recreativas de playa: sombreaderos, kioskos, vestidores, muelles y otros similares.";"Todos aquellos no señalados precedentemente.";"Zona E Zona de Restricción de playas";"";"";"";"";"PRC Cartagena";"";"";"";"";"Cartagena";"";"05603";"";"";"";"";"";"";"";"";"";"";""
"39-8";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHA";"Residencial. Equipamiento de: comercio, culto y cultura, deporte, salud, educación, seguridad y servicios. Actividades productivas inofensivas asimilables a equipamiento de comercio o servicios. Infraestructura. Más detalle en Ordenanza.";"Vivienda en 1° piso, seguridad (cárceles y centros de detención), actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.";"Zona ZCHA";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2284-16";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2469-954";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35-21";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Población Vergara";"E7-C1";"Residencial. Equipamiento de comercio, culto, cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Espacio publico y área verde";"Se prohibe expresamente:  estacion de servicio automotriz";"Zona E7-C1";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"663-25";"Quilpue";"VA";"PRC_Quilpue";"PRC_Valpara%C3%ADso";"Valparaíso";"Quilpué";"";"";"";"";"2732";"";"";"ZR8";"Residencial: Vivienda, Hospedaje, Hogares de acogida; Equipamiento: Comercio, Culto y Cultura, Deporte, Educación, Esparcimiento, Salud, Seguridad, Servicios, Social; Infraestructura; Espacio Público; Área Verde. Para ver en detalle las actividades pemiti";"Todos los no señalados como permitidos";"";"";"";"";"";"PRC Quilpué";"";"Habitacional, densidad baja, baja altura";"";"";"Quilpué";"26-07-2019";"05801";"Decreto";"";"";"";"";"";"";"";"";"";""
"8157-1";"San Antonio";"VA";"PRC_San_Antonio";"PRC_Valpara%C3%ADso";"Valparaíso";"San Antonio";"";"";"";"";"";"";"";"ZR2";"Residencial; equipamiento científico, comercial, culto y cultura, deportivo, educacional, esparcimiento, salud, seguridad, servicio, taller artesanal inofensivo, terminal externo y est. intercambio modal, áreas verdes y espacios públic";"Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.";"ZR2 Zona residencial 2";"";"";"";"";"PRC San Antonio";"";"";"";"";"San Antonio";"";"05601";"";"";"";"";"";"";"";"";"";"";""
"366-15";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"E5";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.";"Todos los no mencionados como permitidos.";"Zona E5";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"93-2";"Villa Alemana";"VA";"PRC_Villa_Alemana";"PRC_Valpara%C3%ADso";"Valparaíso";"Villa Alemana";"";"";"";"";"";"";"";"AV1";"Equipamiento de áreas libres, de esparcimiento regional y áreas verdes.";"Todos los no señalados como permitidos.";"AV1 Áreas especiales";"";"";"";"";"PRC Villa Alemana";"";"";"";"";"Villa Alemana";"";"05804";"";"";"";"";"";"";"";"";"";"";""
"8103-38 Y 8103-1";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHPyE";"Residencia: vivenda: hospedaje; Equipamiento: se permiten solo los actualmente existentes; Act. Productiva: inofensivas del comercio existente; Infraestructura: solamente las existenes; Espacio Público y Áreas Verdes. Para mayor detalle revisar ordenanza local";"Residencial: hoteles; Equipamiento: todos los no indicados en la memoria; Act. Productiva: las que no son parte de la memoria; Infraestructura: todas las que no son parte de la memoria";"Zona de Conservación Histórica Cerros Placeres y Esperanza";"21/03/2005";"205";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SIN ROL";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"S.M.1";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal de distribución, taller molesto; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensivo, molesta, insalubre";"Zona S.M.1";"27/07/1989";"55";"Decreto";"55 de fecha 28.04.89/ D.O. 27.07.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"143-0001";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"C2";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Centro";"C2 Centro de servicios y equipamiento";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"177-5";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"AV";"Area verde.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Areas verdes";"AV Área verde";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2823-24";"San Antonio";"VA";"PRC_San_Antonio";"PRC_Valpara%C3%ADso";"Valparaíso";"San Antonio";"";"";"";"";"";"";"";"ZM3";"Residencial, equipamiento: científico, comercial, culto y cultura, deporte, educación,  esparcimiento, salud, seguridad, social, servicio, infraest. sanitaria, áreas verdes y espacios públicos. Para mayor especificación revisar Orden";"Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.";"ZM3 Zona Mixta 3";"";"";"";"";"PRC San Antonio";"";"";"";"";"San Antonio";"";"05601";"";"";"";"";"";"";"";"";"";"";""
"2360-8/2360-17/2360-18";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"E5";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.";"Todos los no mencionados como permitidos.";"Zona E5";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"615-1/612-3/612-4";"Vina Del Mar";"VA";"Seccional_Vina_del_Mar_Cerro_Castillo";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"";"AV";"Jardines y laderas.";"Todos los no mencionados como permitidos.";"Zona Jardines Ladera";"";"";"";"";"Seccional Viña del Mar - Cerro Castillo";"";"";"";"";"Cerro Castillo";"";"05109";"";"";"";"";"";"";"";"";"";"";""
"335-34/335-9";"El Tabo";"VA";"PRC_El_Tabo";"PRC_Valpara%C3%ADso";"Valparaíso";"El Tabo";"";"";"";"";"";"";"";"Z7";"Vivienda; equipamiento de área verdes, deporte, campamentos turísticos; almacenamiento de tipo inofensivo, establecimientos de impacto similar de tipo inofensivo, servicios artesanales. Mayor detalle en ordenanza.";"Todos aquellos no señalados como permitidos.";"Zona Z7";"";"";"";"";"PRC El Tabo";"";"";"";"";"El Tabo";"";"05605";"";"";"";"";"";"";"";"";"";"";""
"1530-1";"San Antonio";"VA";"PRC_San_Antonio";"PRC_Valpara%C3%ADso";"Valparaíso";"San Antonio";"";"";"";"";"";"";"";"ZM2";"Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan";"Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.";"ZM2 Zona Mixta 2";"";"";"";"";"PRC San Antonio";"";"";"";"";"San Antonio";"";"05601";"";"";"";"";"";"";"";"";"";"";""
"229-8";"Villa Alemana";"VA";"PRC_Villa_Alemana";"PRC_Valpara%C3%ADso";"Valparaíso";"Villa Alemana";"";"";"";"";"";"";"";"AV3";"Equipamiento de áreas libres, esparcimiento regional y áreas verdes.";"Todos los no señalados como permitidos.";"AV3 Áreas especiales";"";"";"";"";"PRC Villa Alemana";"";"";"";"";"Villa Alemana";"";"05804";"";"";"";"";"";"";"";"";"";"";""
"1099-9";"Cartagena";"VA";"PRC_Cartagena";"PRC_Valpara%C3%ADso";"Valparaíso";"Cartagena";"";"";"";"";"";"";"";"E2";"No se permite ningún uso. Corresponderá a una faja de 20 m. mínimo medidos a cada lado del eje.";"No específica la Ordenanza.";"Zona E2 Protección Esteros Restricción";"";"";"";"";"PRC Cartagena";"";"";"";"";"Cartagena";"";"05603";"";"";"";"";"";"";"";"";"";"";""
"213-3";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHAL-V";"Vivienda; Comercio; Oficinas; áreas Verdes, Vialidad; Equipamiento de: Educación, Culto, Cultura, Salud, Seguridad, Organizaciones Comunitarias, Deportes, Esparcimientos, Turismo. Más detalle revisar Ordenanza.";"Todos los no mencionados como permitidos.";"ZCHAL-V Zona de Conservación Histórica Almendral Victoria";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"73-1";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHAL-B";"Vivienda, comercio, oficinas ,áreas verdes, vialidad. Equipamiento de: educación, culto, cultura, salud, seguridad, deporte, esparcimiento, turismo, bombas de bencina, servicios, industrias y bodegas inofensivas. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos y específicamente: equipamiento de actividad comercial y servicios artesanales en espacios abiertos y terminales de buses.";"Zona ZCHAL-B";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"670-264 Y 670-265";"El Tabo";"VA";"PRC_El_Tabo";"PRC_Valpara%C3%ADso";"Valparaíso";"El Tabo";"";"";"";"";"";"";"";"Z3";"Vivienda; equipamiento de áreas verdes, esparcimeinto y turismo (sólo hoteles, moteles y campings) interubana; actividades productivas, servicios artesanales de todos tipo.  Mayor detalle en ordenanza.";"Todos aquellos no señalados como permitidos.";"Zona Z3";"";"";"";"";"PRC El Tabo";"";"";"";"";"El Tabo";"";"05605";"";"";"";"";"";"";"";"";"";"";""
"SIN ROL";"Chiguayante";"BB";"PRC_Chiguayante";"PRC_Biobio";"Biobío";"Chiguayante";"";"";"";"";"";"";"";"ZU3-B";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas. Espacio publico. Area verde.";"Todos los usos de suelo no mencionados como permitidos.";"";"";"";"";"";"PRC Chiguayante";"";"ZU3-B Zona residencial";"9° Modificacion PRC Chiguayante. Decreto Alc. N°333. Fecha de promulgacion 09.02.2018. Fecha de publicacion D.O. 16.03.2018.";"08103";"Chiguayante";"";"";"";"";"";"";"";"";"";"";"";"";""
"1571-3";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5396-2";"Recoleta";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Recoleta";"Límite urbano de Recoleta";"Plan Regulador Comunal de Recoleta";"Municipalidad de Recoleta";"08/01/2005";"104";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2576-1 - 2576-13 - 2576-14";"Recoleta";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Recoleta";"Límite urbano de Recoleta";"Plan Regulador Comunal de Recoleta";"Municipalidad de Recoleta";"08/01/2005";"104";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6403-1";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"710-33";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV4";"Residencial; equip. de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; act. productiva peligrosa, contaminante y molesta; infr. de transporte; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV4 Zona de Vivienda y Equipamiento Vecinal N°4";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3930-2";"Lo Espejo";"RM";"PRC_La_Cisterna";"PRC_RM_Sur";"Metropolitana";"La Cisterna";"";"";"";"";"";"";"La Cisterna";"ZU-8";"Equipamiento comercial local y deporte intercomunal; infraestructura de transporte; espacio público y áreas verde.";"Residencial; equipamiento no mencionado anteriormente; actividad productiva; infraestructura sanitaria, energética y pesca.";"ZU-8 Zona Deportiva y recreacional";"07/08/2004";"2891";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4065-10";"Lo Barnechea";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Lo Barnechea";"Límite urbano de Lo Barnechea";"Plan Regulador Comunal de Lo Barnechea";"Municipalidad de Lo Barnechea";"04/09/2002";"1295";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"793-11";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1012-256";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1101-2";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV4";"Residencial; equip. de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; act. productiva peligrosa, contaminante y molesta; infr. de transporte; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV4 Zona de Vivienda y Equipamiento Vecinal N°4";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5513-187";"La Reina";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"La Reina";"Límite urbano de La Reina";"Plan Regulador Comunal de La Reina";"Municipalidad de La Reina";"22/11/2001";"65";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"356-1";"San Ramon";"RM";"PRC_San_Ramón";"PRC_RM_Sur";"Metropolitana";"San Ramón";"";"";"";"";"";"";"San Ramón";"Zona 6";"Residencial, además de establecimientos comerciales, o industriales agropecuarios con autorización especial de la Municipalidad.";"Todo uso no mencionado como permitido, en especial la instalación de industrias y artesanías.";"Zona 6 Quintas Residenciales 800 m2";"22/06/1952";"1469";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4246-26";"San Miguel";"RM";"PRC_San_Miguel";"PRC_RM_Sur";"Metropolitana";"San Miguel";"";"";"";"";"";"";"San Miguel";"Z-5";"Vivienda y hospedaje; Equipamiento de comercio, servicio, culto y cultura, esparcimiento, seguridad, educación, salud, deportivo, social; Talleres, industria inofensiva; Infraestructura de transporte, energética; Áreas verdes. Mayor detalle en Ordenan";"Equipamiento, mayor detalle en ordenanza; Actividad productiva, establecimientos industriales inofensivos, peligrosos, insalubres o contaminantes; infraestructura de transporte y sanitaria, Mayor detalle en Ordenanza.";"Z-5 Mixto";"25/11/2016";"2500";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1079-2";"Puente Alto";"RM";"PRC_Puente_Alto";"PRC_RM_Sur";"Metropolitana";"Puente Alto";"";"";"";"";"";"";"Puente Alto";"H2";"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";"H2 Zona de Residencial y Equipamiento";"25/04/2003";"423";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"963-5";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Estación Central";"Límite urbano de Estación Central";"Plan Regulador Comunal de Estación Central";"Municipalidad de Estación Central";"29/09/1993";"301";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12292-76";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5082-9";"Estacion Central";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Estación Central";"Límite urbano de Estación Central";"Plan Regulador Comunal de Estación Central";"Municipalidad de Estación Central";"29/09/1993";"301";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1233-188";"Vitacura";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Vitacura";"Límite urbano de Vitacura";"Plan Regulador Comunal de Vitacura";"Municipalidad de Vitacura";"30/12/1999";"59";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5843-1, 5843-2, 5843-3, 5843-4, 5843-7, 5843-8, 5843-9, 5843-10, 5843-11 Y 5843-12";"San Miguel";"RM";"PRC_San_Miguel_área_de_riesgo";"PRC_RM_Sur";"Metropolitana";"San Miguel";"";"";"";"";"";"";"San Miguel";"AR1";"No podrán ejecutarse edificaciones, que incluyen además dos franjas libre de protección de 3 metros a cada lado de los mismos, no obstante lo cual, en  dichas franjas laterales pueden realizarse obras de infraetsructura sanitaria y energética.";" Para mayor detalle revisar ordenanza municipal";"AR1 Área de protección de canales";"25/11/2016";"2500";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3095-91";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"838-905";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZU6";"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; industria, talleres, almacenaje y bodegaje calificados como inofensivas; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Residencial: hospedaje (algunas actividades); Equipamiento: comercio (algunas actividades), deporte (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje calificados como molestas, contaminantes o insalubres y peligrosas; Infraestructura. El detalle de las a*";"Zona Residencial Mixta de Densidad Media";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5271-1";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZH-3";"Residencial, equipamiento comercial local, culto, deporte,  educación, salud, seguridad, servicios, social, oficina y científico; infraestructura sanitaria y energética; actividad productiva inofensiva; espacio público y áreas verdes.";"Equipamiento de esparcimiento, turismo y cementerio; actividad productiva peligrosa, molesta y contaminante; infraestructura de transporte.";"ZH-3 Zona Residencial Densidad Baja";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4705-11";"La Reina";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"La Reina";"Límite urbano de La Reina";"Plan Regulador Comunal de La Reina";"Municipalidad de La Reina";"22/11/2001";"65";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
